CIK,Name,Year,Accounts payable,Accrued liabilities,Additional Paid-in capital,"Common stock, par value",Current liabilities,Government and agency securities obligations,Income tax payable,Long-term borrowing,Other equity,Other liabilities,Payable to Broker/Dealers,Payable to customers and counterparties,Payable to parent and affiliates,Repurchase Agreements (repo),Retained (Accumulated) earnings,Securities borrowed,Securities sold short,Short-term borrowing,Subordinated liabilities,Total liabilities,Total liabilities and shareholder's equity,Total shareholder's equity,Treasury stock
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2008,15111436.0,,1050000.0,,,,,,,-697249.0,137518.0,52786.0,,14995987.0,,,,,800000.0,16192669.0,16266635.0,73966.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2009,25556.0,,1050000.0,,,,,,,-684835.0,1943824.0,46810.0,,11349361.0,,,,14518.0,800000.0,14196392.0,14279792.0,83400.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2010,177923.0,,2050000.0,,,,,61788.0,,511007548557646.0,5260405.0,394847.0,,48437455.0,,,,2663299.0,1300000.0,67030133.0,68102304.0,1072171.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2012,302491.0,,3650000.0,,,,,,,18924602.0,4791663.0,576807.0,,73117338.0,,,,6125074.0,2300000.0,102085358.0,104827762.0,2742404.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2013,502695.0,,3650000.0,,,,,272832.0,,12933624.0,3796646.0,1882852.0,,95786911.0,,,,2369381.0,3150000.0,118681714.0,121701814.0,3020100.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2014,433861.0,,3650000.0,,,,,249761.0,,16691909.0,3197912.0,1401263.0,,97482570.0,,,,3542639.0,3150000.0,124317519.0,127385456.0,3067937.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2015,496712.0,,3650000.0,,,,,,,32393032670.0,3624718.0,802625.0,,78775090.0,,,,787750903400519.0,3150000.0,106030731.0,108960337.0,2929606.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2016,402069.0,,3650000.0,,,,,,,11821528.0,3311490.0,675697.0,,94489304.0,,,,944893042973873.0,22595553150000.0,115346030.0,117925405.0,2579375.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2017,398162.0,,3650000.0,,,,,,,15018561.0,3234305.0,1620347.0,,115404930.0,,,,1154049301264483.0,3150000.0,138528489.0,141510330.0,2981841.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2018,337170.0,,3650000.0,,,,,,,17112023.0,3687586.0,2599343.0,,110849368.0,,,,1108493682805792.0,39789643150000.0,137925403.0,141073948.0,3148545.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2019,267482.0,,3716866.0,,,,,,,1018649446346653.0,2066653.0,2277551.0,,101864943.0,,,,472196.0,23658013150000.0,124457897.0,127542303.0,3084406.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2020,268195.0,,3766702.0,,,,,,,1123258082491649.0,5259659.0,5669219.0,,112325807.0,,,,4650146.0,63809313300000.0,139007241.0,142473148.0,3465907.0,
782124,J.P. MORGAN SECURITIES LLC ,2002,349104.0,494375.0,,1704673.0,,,,,,4322347.0,6344629.0,66487473.0,,49521323.0,2819256.0,,15903027.0,5683726.0,3350000.0,,140655621.0,3462488.0,-61442.0
782124,J.P. MORGAN SECURITIES LLC ,2003,293368.0,466901.0,554673.0,150001.0,,,,,,6722882.0,2903018.0,72356465.0,,51054218.0,3061210.0,,15246427.0,10349388.0,3260000.0,,150559829.0,3704442.0,-61442.0
782124,J.P. MORGAN SECURITIES LLC ,2004,244676.0,437992.0,554673.0,150001.0,,,,,,13299609.0,8253712.0,79840438.0,,52299832.0,3452814.0,,15346895.0,3581583.0,4330000.0,,164601243.0,4096046.0,-61442.0
782124,J.P. MORGAN SECURITIES LLC ,2005,198434.0,1872495.0,554673.0,150001.0,,,,,,15236896.0,11539973.0,99849345.0,,68268193.0,2629259.0,,14331150.0,1904052.0,6180000.0,,193433468.0,3272491.0,-61442.0
782124,J.P. MORGAN SECURITIES LLC ,2006,497559.0,661227.0,554673.0,150001.0,,,,,,23087023.0,11215274.0,91769442.0,,65699240.0,3084253.0,,14351853.0,3974307.0,7230000.0,,191806579.0,3727485.0,-61442.0
782124,J.P. MORGAN SECURITIES LLC ,2007,702367.0,507677.0,554673.0,150001.0,,,,,,38230078.0,20108950.0,92395002.0,,82395612.0,3015497.0,,18760002.0,3152301.0,6780000.0,,236190719.0,3658729.0,-61442.0
782124,J.P. MORGAN SECURITIES LLC ,2008,758202.0,491353.0,570363.0,150001.0,,,,,,22945468.0,20650851.0,111823134.0,,114860156.0,2262081.0,,18517793.0,5213597.0,7780000.0,,258125104.0,2921003.0,-61442.0
782124,J.P. MORGAN SECURITIES LLC ,2009,,495847.0,,,,,,,,20703668.0,6564972.0,83140610.0,,194431501.0,,55587000.0,19669688.0,,14530000.0,395123286.0,399544757.0,4421471.0,
782124,J.P. MORGAN SECURITIES LLC ,2010,,5898.0,,,,,,,,14711.0,9106.0,63097.0,,168185.0,,,26899.0,21550.0,11530.0,320976.0,329205.0,8229.0,
782124,J.P. MORGAN SECURITIES LLC ,2011,,4053.0,,,,,,,,18508.0,9620.0,65582.0,,194535.0,,,29214.0,19434.0,10830.0,351776.0,362019.0,10243.0,
782124,J.P. MORGAN SECURITIES LLC ,2012,,3686.0,,,,,,,,24139.0,8110.0,99062.0,,169039.0,,,27434.0,16240.0,12330.0,360040.0,371293.0,11253.0,
782124,J.P. MORGAN SECURITIES LLC ,2013,,,,,,,,,,23707.0,4114.0,91918.0,,265374.0,,,28316.0,12507.0,11530.0,437466.0,451412.0,13946.0,
782124,J.P. MORGAN SECURITIES LLC ,2014,4188.0,,,,,,,,,16619.0,4024.0,101507.0,,172018.0,,,30228.0,16949.0,9530.0,355063.0,372319.0,17256.0,
782124,J.P. MORGAN SECURITIES LLC ,2015,3381.0,,,,,,,3534.0,,34923.0,5776.0,106750.0,,169113.0,9126.0,,36812.0,12916.0,15030.0,367038.0,397361.0,15293.0,
782124,J.P. MORGAN SECURITIES LLC ,2016,2535.0,,,,,,,5500.0,,26197.0,7994.0,84771.0,,170868.0,8344.0,,30782.0,18059.0,14630.0,340539.0,369680.0,14511.0,
782124,J.P. MORGAN SECURITIES LLC ,2017,,2829.0,,,,,,7677.0,,26831.0,4585.0,88911.0,,184558.0,11280.0,,27844.0,10840.0,14000.0,347908.0,379355.0,17447.0,
782124,J.P. MORGAN SECURITIES LLC ,2018,,2701.0,,,,,,8971.0,,39132.0,5549.0,82762.0,,132574.0,13591.0,,29431.0,22459.0,14000.0,317412.0,351170.0,19758.0,
782124,J.P. MORGAN SECURITIES LLC ,2019,,,,,,,,11784.0,,12515.0,8311.0,86062.0,,225965.0,,,33270.0,55335.0,24000.0,427075.0,460265.0,9190.0,
782124,J.P. MORGAN SECURITIES LLC ,2020,,2961.0,,,,,,15498.0,,9752.0,10187.0,93581.0,,249854.0,5616.0,,35037.0,44459.0,24000.0,455162.0,490945.0,11783.0,
