#ID_RSSD,NM_LGL,PRIM_FED_REG,CHTR_TYPE_CD,ORG_TYPE_CD,ENTITY_TYPE,CITY,STATE_ABBR_NM,CNTRY_NM,ID_TAX,ID_LEI,CIK,#ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,TRNSFM_CD,SUCCESSOR_NM_LGL
37435,UNITED BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,ZEBULON,GA,UNITED STATES                           ,580153300,0,1286478,78036,37435,Charter Discontinued (Merger or Purchase & Assumption),UNITED BANK                                                                                                             
37435,UNITED BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,ZEBULON,GA,UNITED STATES                           ,580153300,0,1286478,815370,37435,Charter Discontinued (Merger or Purchase & Assumption),UNITED BANK                                                                                                             
37435,UNITED BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,ZEBULON,GA,UNITED STATES                           ,580153300,0,1286478,1009831,37435,"Failure, Government Assistance Provided",UNITED BANK                                                                                                             
37435,UNITED BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,ZEBULON,GA,UNITED STATES                           ,580153300,0,1286478,1010033,37435,Charter Discontinued (Merger or Purchase & Assumption),UNITED BANK                                                                                                             
37435,UNITED BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,ZEBULON,GA,UNITED STATES                           ,580153300,0,1286478,2508126,37435,"Failure, Government Assistance Provided",UNITED BANK                                                                                                             
37435,UNITED BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,ZEBULON,GA,UNITED STATES                           ,580153300,0,1286478,3279450,37435,"Failure, Government Assistance Provided",UNITED BANK                                                                                                             
63069,CITY NATIONAL BANK,OCC,Commercial Bank,Corporation (stock),National Bank,LOS ANGELES,CA,UNITED STATES                           ,951780067,593C3GZG957YOJPS2Z63,275216,221962,63069,Charter Discontinued (Merger or Purchase & Assumption),CITY NATIONAL BANK                                                                                                      
63069,CITY NATIONAL BANK,OCC,Commercial Bank,Corporation (stock),National Bank,LOS ANGELES,CA,UNITED STATES                           ,951780067,593C3GZG957YOJPS2Z63,275216,246460,63069,Charter Discontinued (Merger or Purchase & Assumption),CITY NATIONAL BANK                                                                                                      
63069,CITY NATIONAL BANK,OCC,Commercial Bank,Corporation (stock),National Bank,LOS ANGELES,CA,UNITED STATES                           ,951780067,593C3GZG957YOJPS2Z63,275216,341561,63069,Charter Discontinued (Merger or Purchase & Assumption),CITY NATIONAL BANK                                                                                                      
63069,CITY NATIONAL BANK,OCC,Commercial Bank,Corporation (stock),National Bank,LOS ANGELES,CA,UNITED STATES                           ,951780067,593C3GZG957YOJPS2Z63,275216,414465,63069,Charter Discontinued (Merger or Purchase & Assumption),CITY NATIONAL BANK                                                                                                      
63069,CITY NATIONAL BANK,OCC,Commercial Bank,Corporation (stock),National Bank,LOS ANGELES,CA,UNITED STATES                           ,951780067,593C3GZG957YOJPS2Z63,275216,518868,63069,Charter Discontinued (Merger or Purchase & Assumption),CITY NATIONAL BANK                                                                                                      
63069,CITY NATIONAL BANK,OCC,Commercial Bank,Corporation (stock),National Bank,LOS ANGELES,CA,UNITED STATES                           ,951780067,593C3GZG957YOJPS2Z63,275216,533964,63069,Charter Discontinued (Merger or Purchase & Assumption),CITY NATIONAL BANK                                                                                                      
