#ID_RSSD,CIK,NM_LGL
2459004,1127609,COUTTS SECURITIES INC.
2591472,1018264,BNY TRADING LLC
2536558,913892,"TCF INVESTMENTS, INC."
2595078,859338,CORRESPONDENT SERVICES CORPORATION
2548654,1002197,BLACKROCK EXECUTION SERVICES
2520968,22382,COMMERCE SECURITIES CORPORATION
2551748,857605,NBC INTERNATIONAL (USA) LTD.
2600301,928580,"MELLON HR SECURITIES, INC."
2500278,1017509,"ROBERTSON STEPHENS, INC."
2700171,317450,"QUICK & REILLY, INC."
2677170,1032190,CIBC TRADING (DELAWARE CORP.)
2727468,57106,"SOMERSET SECURITIES, INC."
2648880,842798,COLUMBIA FINANCIAL CENTER INCORPORATED
2649113,1115904,"SUPERIOR FINANCIAL SERVICES, INC."
2687870,1044203,"TSB SECURITIES, INC."
2710983,51731,"WACHOVIA SECURITIES, INC."
2652841,1041761,INTRUST BROKERAGE INC.
2754736,810340,"PFS DISTRIBUTORS, INC."
2638890,1012475,"DORAL SECURITIES, INC."
2736246,1052943,"BNP PARIBAS INVESTMENT SERVICES, LLC"
2693732,811984,GREAT SOUTHERN CAPITAL MANAGEMENT INC
2721309,1053728,FOUNDERS ASSET MANAGEMENT LLC
2760148,1123410,NEPTUNE LLC
2665092,858574,FIRST NATIONAL INVESTMENTS INC
2745396,1065063,"PENN SECURITIES, INC."
2762674,715866,"CHARTER ONE SECURITIES, INC."
2787882,1079505,SVB SECURITIES
2834629,890599,"WOORI INVESTMENT & SECURITIES CO., LTD."
2811198,869136,"REDWOOD SECURITIES GROUP, INC."
2765022,1011084,CITIGROUP GLOBAL MARKETS PUERTO RICO INC.
2839240,1123376,FUJI FUTURES INC.
